X,Y,OBJECTID,FACILITYID,NAME,SUBTYPEFIELD,FEATURECODE,FULLADDR,OPERDAYS,OPERHOURS,PARKAREA,PARKURL,NUMPARKING,RESTROOM,ADACOMPLY,CAMPING,SWIMMING,HIKING,FISHING,PICNIC,BOATING,HUNTING,ROADCYCLE,MTBCYCLE,PLAYGROUND,GOLF,SKI,SOCCER,BASEBALL,BASKETBALL,TENNIS,Shelter,Football
1512760.41909658,620505.695947431,35,FAC-21,Vietnam Veterans Park - Cabarrus County,820,County Park,"760 Orphange Rd, 704-920-3350",Sun - Sat,"Mar-Oct 8-8, Nov-Feb M - F 8-5 S&S 9–5",90,https://www.cabarruscounty.us/location/vietnam-veterans-park,0,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,,,
1497572.3712247,596376.291696489,36,FAC-153,Carl A Furr Elementary School,820,School Park,"2725 Clover Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,
1483710.53461116,602655.174725972,37,FAC-154,Cox Mill Elementary School,820,School Park,"1450 Cox Mill Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,,,
1510594.71230595,574978.27018816,38,FAC-155,Harrisburg Elementary School,820,School Park,"3900 Stallings Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,,,
1527376.42127855,571420.984815866,39,FAC-157,Patriots Elementary School,820,School Park,"1510 Holden Ave, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,,
1508988.66605939,583971.212340035,40,FAC-158,Pitts School Road Elementary School,820,School Park,"720 Pitts School Rd SW, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,,,
1523473.39307741,583360.7378392,41,FAC-159,Rocky River Elementary School,820,School Park,"5454 Rocky River Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,,,
1515121.51427595,595864.296739511,42,FAC-163,Wolf Meadow Elementary School,820,School Park,"150 Wolf Meadow Dr, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,,,
1518010.23594272,621519.404139824,43,FAC-164,Winecoff Elementary School,820,School Park,"375 Winecoff School Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,,,
1526380.23478668,571081.408723369,44,FAC-166,C C Griffin Middle School,820,School Park,"7650 Griffins Gate Dr SW, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,
1537499.66505762,612198.471748263,45,FAC-167,Concord Middle School,820,School Park,"1500 Goldrush Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,Yes
1508593.4909147,601484.860465556,46,FAC-168,Harold E. Winkler Middle School,820,School Park,"4501 Weddington Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,Yes,
1481128.23129481,615822.943255864,47,FAC-169,Harris Road Middle School,820,School Park,"1251 Patriot Plantation Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,
1510058.59871283,571421.063965969,48,FAC-170,Hickory Ridge Middle School,820,School Park,"7536 Raging Ridge Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,,,
1524715.87541855,592414.68708691,49,FAC-171,JN Fries Middle School,820,School Park,"133 Stonecrest Circle SW, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,,,
1504157.23871439,623999.258514099,50,FAC-173,Northwest Cabarrus Middle School,820,School Park,"5140 Northwest Cabarrus Dr, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,,,
1527841.30756991,590690.93684347,51,FAC-175,Central Cabarrus High School,820,School Park,"505 HWY 49 S, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,
1484895.21564074,603192.641662844,52,FAC-177,Cox Mill High School,820,School Park,"1355 Cox Mill Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,Yes
1512127.18545491,570962.651989095,53,FAC-178,Hickory Ridge High School,820,School Park,"7321 Raging Ridge Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,,Yes
1504493.53274324,591202.931800447,54,FAC-179,Jay M Robinson High School,820,School Park,"300 Pitts School Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,,Yes
1558398.46266283,606568.460452534,55,FAC-180,Mt Pleasant High School,820,School Park,"700 Walker Rd, 704-920-3350",Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,,,
1505004.23956303,623058.594384931,56,FAC-181,Northwest Cabarrus High School,820,School Park,5130 Northwest Cabarrus Dr,Sun - Sat,Hours Vary,,,0,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,Yes
1547123.55903158,543252.734065868,57,Rob Wallace Park,Rob Wallace Park,820,County Park,12900 Bethel School Rd. Midland,Sun - Sat,"Mar-Oct 8-8, Nov-Feb M - F 8-5 S&S 9–5",143,https://www.cabarruscounty.us/location/rob-wallace-park,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
